Text,Question
He  pays me six roubles the signature it works out to about fifteen roubles  for the job and Ive had six already in advance,0
Oh youve heard that too then?,1
it was not that part  of your article that interested me so much but an idea at the end of  the article which I regret to say you merely suggested without working  it out clearly,0
Well to business,0
Ive called on Zossimov  twice; not at home only fancy!,0
Gregory B,0
Katerina Ivanovna remained standing where she was as though  thunderstruck,0
If I fall ill am  I to send for a young lady to treat me?,1
It was nearly eleven oclock  and although in summer in Petersburg there is no real night yet it was  quite dark at the top of the stairs,0
What is a female rabbit called,1
But that  sanction of bloodshed _by conscience_ is to my mind,0
thats all right muttered Raskolnikov,0
But as he was about to open the door it began opening of itself,0
What is Nathan Hamill s role in the new Star Wars prequel,1
What s the world s most common compound,1
Hurrah!,0
Youve come to see us?,1
He did not lift his arms to embrace them he  could not,0
It may explain a great  deal,0
Why do you look at me as though you did not know me?,1
because it was better  to raise a wife from poverty so that you may have complete control over  her and reproach her with your being her benefactor?,1
thats certain believe me I am not wrong,0
He looked at the  old woman and was in no hurry to get away as though there was still  something he wanted to say or to do but he did not himself quite know  what,0
How has it come into existence among us tell me that?,1
Raskolnikov went up to Katerina Ivanovna,0
But excuse me excuse me,0
Ill explain that afterwards but now my boy I declare to you,0
I could see by their eyes that they know all about it!,0
He doesnt jeer at things not because he hasnt the wit but  as though he hadnt time to waste on such trifles,0
Yes I must go muttered Raskolnikov,0
If theres anything wrong  I swear Ill bring you here myself but if its all right you go to  bed,0
Then why the devil have you come?,1
What dog was dubbed The Mortgage Lifter,1
Porfiry Petrovitch was wearing a dressing-gown very clean linen and  trodden-down slippers,0
What is the difference between a fruit and a vegetable,1
He is at the last gasp,0
He respected me he  respected me very much!,0
Sonia looked uneasily at him,0
The sun was setting,0
Oh no Pyotr Petrovitch it was all terribly disheartening Pulcheria  Alexandrovna hastened to declare with peculiar intonation and if  Dmitri Prokofitch had not been sent us I really believe by God Himself  we should have been utterly lost,0
Who played Maria in the film West Side Story,1
Nearly ten of the twenty roubles given by Raskolnikov for Marmeladovs  funeral were wasted upon it,0
Warming up Katerina Ivanovna proceeded to enlarge on the peaceful and  happy life they would lead in T---- on the gymnasium teachers whom  she would engage to give lessons in her boarding-school one a most  respectable old Frenchman one Mangot who had taught Katerina Ivanovna  herself in old days and was still living in T---- and would no doubt  teach in her school on moderate terms,0
What letter does Gorbachev s middle name start with,1
What is the matter with me!,0
He still made her uneasy as though he was competent and  good-natured was he capable of carrying out his promise?,1
To Zametov I didnt say a word,0
Name a South African diamond producer,1
And if at that moment he had been capable of seeing  and reasoning more correctly if he had been able to realise all the  difficulties of his position the hopelessness the hideousness and the  absurdity of it if he could have understood how many obstacles and  perhaps crimes he had still to overcome or to commit to get out of  that place and to make his way home it is very possible that he would  have flung up everything and would have gone to give himself up and  not from fear but from simple horror and loathing of what he had  done,0
Exactly twenty minutes after Razumihins departure there came two  subdued but hurried knocks at the door: he had come back,0
though I agree with you,0
At Sonias entrance Razumihin who had been sitting on one of  Raskolnikovs three chairs close to the door got up to allow her to  enter,0
Where are you going?,1
In the corner a light was burning before a small ikon,0
But why are they such fools?,1
she cried with flashing eyes is there no justice  upon earth?,1
What country was Hitler the chancellor of,1
to-morrow indeed,0
What pseudonym did William Sydney Porter use in writing The Gift of the Magi,1
he bawled in a  thick voice Hey Alyona Ivanovna old witch!,0
What county is Chicago in,1
she cried clasping her hands your husband drunken  horses have trampled!,0
If Id known about it I should have arrested him!,0
Its more likely she has been given drink and deceived  somewhere,0
Where is the Orinoco,1
Strength strength is what one wants you  can get nothing without it and strength must be won by strength--thats  what they dont know he added proudly and self-confidently and  he walked with flagging footsteps from the bridge,0
She will be worn to a  shadow with fasting; and my sister?,1
My  greetings to Rodion Romanovitch,0
You may laugh at me but my mother is  here he turned suddenly to Porfiry and if she knew he turned again  hurriedly to Razumihin carefully making his voice tremble that the  watch was lost she would be in despair!,0
How can you prevent it,1
He rushed to the door listened caught up his hat and began to descend  his thirteen steps cautiously noiselessly like a cat,0
When was Ozzy Osbourne born,1
At last all was still not a soul stirring,0
Thats what Ive  forgotten as though on purpose; forgotten it all at once I remembered  a minute ago,0
What daily newspaper will `` help you see clearer across the USA,1
So that I may very likely be able to send  to you not twenty-five but thirty roubles,0
But that in the end these visits had become a habit and  almost a necessity for him so that he was positively distressed when  she was ill for some days and could not visit him,0
Where are you going Rodya?,1
He knew he knew perfectly well that at that moment they were at the  flat that they were greatly astonished at finding it unlocked as  the door had just been fastened that by now they were looking at the  bodies that before another minute had passed they would guess and  completely realise that the murderer had just been there and had  succeeded in hiding somewhere slipping by them and escaping,0
Pulcheria Alexandrovna asked in  dismay,0
She was good,0
I  assure you it will be useless you will gain nothing by it,0
Semyon  Zaharovitch is tired with his work at the office he is resting shh!,0
Perhaps God is saving you for something,0
Ah Rodion  Romanovitch he added suddenly what all men need is fresh air fresh  air,0
What did the ancients call the four great elements,1
So you will have to keep up your  appearance too,0
This is a fantastic  gloomy business a modern case an incident of to-day when the heart  of man is troubled when the phrase is quoted that blood renews when  comfort is preached as the aim of life,0
I gave him a note--a  rouble that is--for I thought if he did not pawn it with me he would  with another,0
He looked at her and all at once seemed to see in her face the  face of Lizaveta,0
What is home banking,1
But nevertheless it was clear to him again that with her character and  the amount of education she had after all received she could not in any  case remain so,0
What are some fun things to do in Cozumel  Mexico for teenagers,1
An instant later he heard the  latch unfastened,0
Come to the police  station says he,0
What eastern state sprouted the first commercial nuclear power plant in the US,1
thats  clear its all clear now,0
And I am drinking  it!,0
Porfiry?,1
Your attitude to crime is  pretty clear to me now but,0
said Dounia turning  warmly and awkwardly to him,0
It was a  room so low-pitched that Svidrigaïlov could only just stand up in it;  it had one window; the bed which was very dirty and the plain-stained  chair and table almost filled it up,0
The tavern was  dirty and wretched not even second-rate,0
Porfiry slapped himself on the forehead,0
Amalia  Ivanovna fired up and getting angry observed that she only meant her  good and that she had meant her very good and that it was long  since she had paid her _gold_ for the lodgings,0
He was a man of about five and thirty short  stout even to corpulence and clean shaven,0
His thoughts strayed aimlessly,0
When was the G7 group of nations formed,1
What are the benefits of a rowing machine,1
What are fingernails made of,1
What am I thinking about?,1
What is the mean income of the top 10%  top 5%  and top 1%,1
They were continually making plans for the future;  both counted on settling in Siberia within five years at least,0
So its to let,0
Luzhin hardened his heart and seemed to determine to take no  notice of their oddities,0
What is the difference between a median and a mean,1
He walked quickly and resolutely and  though he felt shattered he had his senses about him,0
What weapon is the mythological character Apollo most proficient with,1
Here would be the place to  throw it he thought,0
His tone of assumed arrogance and helpless defiance was gone,0
Ah I have said good-bye again,0
The young man did not dispute it and took the money,0
Is it for me to help?,1
We could empty them,0
He did not succeed in robbing the  place he couldnt stand it,0
But Svidrigaïlov restrained  himself and answered very civilly:    Yes it was,0
If  you stay though you are his mother youll drive him to a frenzy and  then goodness knows what will happen!,0
What does the Greek word polis mean  as in Minneapolis,1
And wont you see my little surprise?,1
How many calories are there in a glass of water,1
What a burden to bear!,0
What is the population of Arcadia  Florida,1
I dare say when it came to deeds youd make a slip,0
And  by-the-way are you fond of Schiller?,1
I knew you would run after me he said,0
In any case he must see Svidrigaïlov as soon as possible he decided  finally,0
They said unto Him Lord come and  see,0
Katerina Ivanovna hardly knowing what she was doing sank on her knees  before him,0
This  Marfa Petrovna begged Dounias forgiveness afterwards and shes just  died suddenly,0
How many mines can still be found in the Falklands after the war ended,1
For nearly two years  Ive been scuttling about among the publishers and now I know every  detail of their business,0
God bless you the beggar chanted in a lachrymose voice,0
But at once there was an outbreak of laughter and exclamations in the  crowd,0
Razumihin said in conclusion  following Zossimov out,0
What does it mean `` Rupee Depreciates,1
Well Sonia?,1
And yet why not?,1
He may drown himself,0
There are stains but not very noticeable; all covered with dirt  and rubbed and already discoloured,0
What state does Charles Robb represent,1
With your parting and your rings--you  are a gentleman of fortune,0
He looked at the children: they were all kneeling by the  coffin; Polenka was weeping,0
In what Olympic Games did Nadia Comaneci become popular,1
What is the most heavily caffeinated soft drink,1
But there cant be,0
Am I to come in or go away?,1
Yet children you know are the image of  Christ: theirs is the kingdom of Heaven,0
to-day he certainly did  drive him away,0
Marmeladov stopped again in violent excitement,0
One cant contradict her,0
Who is the director of the international group called the Human Genome Organization  HUGO  that is trying to coordinate gene-mapping research worldwide,1
What direction do most baseball pitchers pitch toward,1
It was only a few paces away,0
The head clerk took the paper and turned to attend to others,0
was that she was a beggar,0
At first Pulcheria  Alexandrovna was speechless with joy and surprise; then she took him by  the hand and drew him into the room,0
Ah the shameful things that are done in the world nowadays God have  mercy on us!,0
How can I search for a word within my own webpage,1
What Russian seaport has a name meaning `` Lord of the East,1
Raskolnikov made no reply,0
besides your sister cant endure me,0
Let that wretch of a general see it!,0
He offers you ten  thousand and yet says he is not well off,0
But the  conductor brought it for nothing for you,0
Where can I get information concerning child custody files for the State of Utah,1
She still  stood meditating,0
How could I avoid being brought to certain ideas?,1
What s the difference between TFT and dual-scan display,1
I am  ready to bow down to them of course but you must admit its alarming  if there are a great many of them eh?,1
The sunlight was bright in the room;  the incense rose in clouds; the priest read Give rest oh Lord,0
For your sake I must break off  with my brother for my brothers sake I must break off with you,0
There were twelve silver roubles left in the chest!,0
If an individual Project Gutenberg-tm electronic work is derived  from the public domain (does not contain a notice indicating that it is  posted with permission of the copyright holder) the work can be copied  and distributed to anyone in the United States without paying any fees  or charges,0
Tchebarov turns up a business man,0
Its only in that sense I speak of their right to crime in my article  (you remember it began with the legal question),0
What beer advertised that it had `` three rings,1
Who is the composer of `` Canon in D Major,1
What famous New York City mayor wrote the hit song  `` Will You Love Me in December as You Do in May,1
though it wasnt a presentiment really for  you seem to have fallen from heaven,0
Concluding that he had returned to his senses the landlady closed the  door and disappeared,0
How do I know if I am pregnant,1
And whosoever liveth and believeth in Me shall never die,0
I mean was it long since you were there?,1
I was vexed and I lost my sleep and I began making  inquiries,0
What is the fear of frogs,1
well legislators and leaders of men  such as Lycurgus Solon Mahomet Napoleon and so on were all without  exception criminals from the very fact that making a new law they  transgressed the ancient one handed down from their ancestors and held  sacred by the people and they did not stop short at bloodshed either  if that bloodshed--often of innocent persons fighting bravely in defence  of ancient law--were of use to their cause,0
cried Dounia  and she jumped up from the chair,0
But this was too much for Katerina Ivanovna and she at once declared  so that all could hear that Amalia Ivanovna probably never had a  father but was simply a drunken Petersburg Finn and had certainly once  been a cook and probably something worse,0
It would have been  better if you had come to-morrow,0
Well thats praiseworthy and its better for you,0
What is Latin for incompetent,1
Bother my hair!,0
Jude Law acted in which film,1
Perhaps it was one of these future Napoleons who did for Alyona  Ivanovna last week?,1
But they will  certainly arrest me,0
You are living upon them,0
Hulloa!,0
Why I did give it to you,0
Where did the saying `` rule of thumb  come from,1
A chill went down his back,0
Your name is down there,0
Man grows used to  everything the scoundrel!,0
A sudden giddiness came over him,0
If it had been possible to escape to some solitude he  would have thought himself lucky even if he had to spend his whole life  there,0
But I shant go,0
he asked going into a very spacious and  positively clean restaurant consisting of several rooms which were  however rather empty,0
He attempted to smile but it did not turn out a  smile,0
Listen he  added turning to her a minute later,0
I wont allow it,0
How dark it was!,0
But what if Dounia were one  of the percentage!,0
I am sorry too that with all the energy and  resolution in protesting--which she has already shown once--she has  little self-reliance little so to say independence so as to  break free from certain prejudices and certain foolish ideas,0
Dmitri  Prokofitch comes to see me its so good of him and he always talks  about you,0
What mayor made so many TV appearances he was asked to join AFTRA in 1984,1
He is injured but not killed believe  me,0
He went up to it quietly  and felt that there was someone hiding behind it,0
How many watts make a kilowatt,1
Its  past ten,0
Raskolnikov laughed its  all right my dear boy he added slapping Zametov on the shoulder,0
What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight,1
Who are the two sons of Ozzie and Harriet Nelson,1
What medium is Stuart Hamblen the first singing cowboy in,1
Oh Rodya you wouldnt believe she began suddenly in haste to  answer his words to her how unhappy Dounia and I were yesterday!,0
Half an hour earlier while he was bringing  Raskolnikov home he had indeed talked too freely but he was aware of  it himself and his head was clear in spite of the vast quantities he  had imbibed,0
What is the quantity of American soldiers still unaccounted for from the Vietnam war,1
How many yards are in 1 mile,1
And you stay a minute,0
You think we may become friends?,1
Pyotr  Petrovitch put in addressing Zossimov,0
What are three ways in which wind is created on the earth,1
Then she began  tentatively questioning him about the scene on the previous day with  Luzhin hesitating and continually glancing at Dounia obviously to  the latters annoyance,0
Did you  really?,1
Nobody has been beating the landlady she declared at last in a firm  resolute voice,0
Dostoevsky was the son of a doctor,0
Because she told me you had  undertaken to get her one,0
Thats the goal remember  that!,0
How do I find info about rice importers in the world,1
Razumihin who was standing in the  doorway flew into the room seized the sick man in his strong arms and  in a moment had him on the sofa,0
Of course its very annoying,0
Zametov is no more than a boy,0
I tell you she was walking in front of me staggering just here in  the boulevard,0
all this fortnight!,0
How many muscles does the average adult use when going for a walk,1
What country has the largest sheep population,1
I understand all you can tell  me!,0
Who designed London Bridge,1
Razumihin blurted out as soon as they were in the street,0
What are some of the significant historical events of the 1990s,1
What is the procedure called for drilling a hole in your skull to acheive a higher consciousness,1
Who is Charles Lindbergh,1
What government department did The Untouchables work for,1
But what are you laughing at?,1
Fortunately I can have convincing  proof of it this very day,0
What fictional character is known as the `` melancholy Dane,1
There can be no question of love mother writes,0
Along the street,0
There turned  out to be various articles made of gold among the clothes--probably  all pledges unredeemed or waiting to be redeemed--bracelets chains  ear-rings pins and such things,0
No whispered Sonia,0
Sonia gazed at him astonished,0
What is tumbled marble,1
At nine oclock precisely Razumihin reached the lodgings at Bakaleyevs  house,0
Then it would be better for Luzhin to go on living and doing wicked  things?,1
What s a Craps player called,1
He gathered them all up in his hands and stood in the middle of the  room,0
that there is a law for such things,0
He turned abruptly to the wall; Nastasya went out,0
Oh merciful heavens!,0
What is the location of McCarren Airport,1
At last the thought struck him that it might be better to go to the  Neva,0
Is it possible that you can up to the present have received no  information?,1
What stringed weapon fires a bolt,1
I couldnt make up my mind he  whispered looking at her mistrustfully again,0
Her feelings her aspirations at  least,0
Dont go Pyotr Petrovitch said Dounia you intended to spend  the evening,0
Other ideas crept into his  mind,0
What American poet wrote : `` Good fences make good neighbors,1
How am I to pay her?,1
you know Rodya I talked some nonsense on  the way home to you yesterday when I was drunk,0
The explosive one?,1
He looked at her with anguish,0
how could I?,1
He talked for three quarters of an hour being constantly interrupted  by their questions and succeeded in describing to them all the  most important facts he knew of the last year of Raskolnikovs life  concluding with a circumstantial account of his illness,0
Where in the United States do people live the longest,1
Who killed Gandhi,1
She received Svidrigaïlov in respectful silence  looking wonderingly at his soaking clothes,0
Thirty copecks she gave  me with her own hands her last all she had as I saw,0
Yes; and I have business with her too,0
Who bestowed great power upon Captain Britain,1
Havent you water?,1
The day before yesterday I beat you three times running at  billiards at Gambrinus,0
We have now part of a room at Amalia Fyodorovna Lippevechsels;  and what we live upon and what we pay our rent with I could not say,0
Oh  how I,0
What mountain range marks the border of France and Spain,1
Who are the presidents of Mexico and Indonesia,1
Oh no!,0
Mechanically he drew from a chair beside  him his old students winter coat which was still warm though almost in  rags covered himself up with it and once more sank into drowsiness and  delirium,0
He was a child about seven years old  walking into the country with his father on the evening of a holiday,0
Are we to consider every desire of yours as  a command?,1
What five-time winner of the Kentucky Derby lost his first 25 races,1
What country buys 25 percent of the world s tea exports,1
I was on the look-out,0
Where were you all night?,1
And when could she wear them?,1
At that very  moment as though expressly for his benefit a huge waggon of hay had  just driven in at the gate completely screening him as he passed under  the gateway and the waggon had scarcely had time to drive through into  the yard before he had slipped in a flash to the right,0
What police force did Mack Sennett create,1
And the next day I heard that someone had murdered Alyona Ivanovna and  her sister Lizaveta Ivanovna with an axe,0
They were particularly diverted when  Marmeladov dragged about by his hair shouted that it was a consolation  to him,0
In which state are the Mark Twain National Forests,1
He was so badly dressed that even a man accustomed to shabbiness would  have been ashamed to be seen in the street in such rags,0
So this man could tell  nothing except his asking about the flat and the blood stains,0
What do the letters ZIP stand for in the phrase `` ZIP code,1
Whether you confess it or not is nothing to me now; for myself I am  convinced without it,0
What Australian city became the home of the America s Cup,1
What English playwright penned : `` Where the bee sucks  so shall I,1
How do I know someone is truly in love with me,1
Of late she had begun to talk more than ever to her eldest  girl Polenka a child of ten who though there was much she did not  understand understood very well that her mother needed her and so  always watched her with her big clever eyes and strove her utmost  to appear to understand,0
And then to his intense amazement  he caught the voice of his landlady,0
How long does a human live,1
Dont you worry yourself  yet if you like you might just look in once too,0
She had run after him with a message  which she was evidently glad to give,0
and  see their fancies as solid realities,0
Svidrigaïlov said smiling,0
Come along;  I will escort you,0
What TV sitcom character had the maiden name Ethel Potter,1
Stand off Mikolka screamed frantically; he threw down  the shaft stooped down in the cart and picked up an iron crowbar,0
What is predicted to topple over between 2010 and 2020,1
What animal received royal assent as an emblem of Canada on March 24  1975,1
Ill always be pleased to spend an hour with you kind gentleman but  now I feel shy,0
etc,0
Its mine  you know she begged him,0
There was nowhere to hide,0
Katerina Ivanovna walked to the window laid her head against the window  frame and exclaimed in despair:    Oh cursed life!,0
What s the population of Mississippi,1
What are field effect transistors,1
Show me!,0
What is the only animal that can turn its stomach inside out,1
Ill go to the  governor-general himself,0
Will you have vodka?,1
What does `` Janelle  mean,1
What will the increase be in the California gas tax by 2000,1
What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more   and produced plans that were the forerunner of the California ranch house,1
In Peski with the Kolomensky men,0
Why do they speak in that tone?,1
It seemed like a dream  indeed,0
who killed Lizaveta,0
How many Vietnamese were there in the Soviet Union,1
Ah the apparitions of Marfa Petrovna!,0
What product features a frog that says `` dig em,1
Near his grandmothers  grave which was marked by a stone was the little grave of his younger  brother who had died at six months old,0
To be pitied!,0
Do you hear?,1
You seem to be jeering at me brother?,1
She would smile and bow to them and everyone was  delighted when she smiled,0
Cannot be?,1
Aspartame is known by what other name,1
In the next room which looked like an  office several clerks were sitting writing and obviously they had  no notion who or what Raskolnikov might be,0
His mother was alarmed by his expression,0
What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body,1
His hands were fearfully weak he felt them every moment growing  more numb and more wooden,0
It did happen,0
What feathered cartoon characters do Yugoslavians know as Vlaja  Gaja  and Raja,1
The staircase was steep narrow and all sloppy with dirty water,0
What is the origin of gametophytic tissue,1
Who wrote `` The Scarlet Letter,1
Where can I read about Chiang Kai-shek,1
The police still remained round the woman someone  mentioned the police station,0
What is HTML,1
With what?,1
Who did Bobby Fischer beat to win the world chess championship,1
And Dounia Dounia was all but  believing it--what do you say to that?,1
What is the name of the game that Garry Kasparov plays,1
Only speak speak I shall  understand I shall understand _in myself_!,0
Youre very nice looking yourself she said,0
Here is Kapernaumov and there lives Madame Resslich an old and devoted  friend of mine,0
He listened intently  gloomily and dreamily bending down at the entrance and peeping  inquisitively in from the pavement,0
At the thought of it she was so frightened  that she hurriedly got up again and in utter confusion addressed  Raskolnikov,0
But that is all folly!,0
What makes popcorn pop,1
Where does  he live?,1
flashed through his  mind,0
we dont know what to do you see!,0
Excuse me sir said Luzhin quivering with fury,0
Now if the whole room had been filled not  with police officers but with those nearest and dearest to him he  would not have found one human word for them so empty was his heart,0
Rodya Rodya where are you going?,1
He?,1
or Svidrigaïlov,0
What are Kythnos  Siphnos  Seriphos and Mykonos,1
He spoke  little and reluctantly as though performing a duty and there was a  restlessness in his movements,0
And that that is what they found it  all on!,0
And yet,0
But at this moment a strange incident occurred something so unexpected  that neither Raskolnikov nor Porfiry Petrovitch could have looked for  such a conclusion to their interview,0
The man  he really dreaded in earnest was Svidrigaïlov,0
Who wrote The Godfather,1
His lips worked  helplessly struggling to utter something,0
It was still light but beginning to get dusk,0
Svidrigaïlov got up  laughed kissed his betrothed patted her cheek declared he would soon  come back and noticing in her eyes together with childish curiosity a  sort of earnest dumb inquiry reflected and kissed her again though  he felt sincere anger inwardly at the thought that his present would be  immediately locked up in the keeping of the most sensible of mothers,0
What did Warlock wear on his forehead in Marvel comics,1
I remember you and love you,0
I wanted to find out something else; it was something else led  me on,0
No matter I shall come,0
As he blessed them and  took his leave the priest looked round strangely,0
Please dont trouble,0
Of course its perfectly natural in your position,0
Sonia asked with some surprise,0
he shouted apparently astonished that such a ragged  fellow was not annihilated by the majesty of his glance,0
Have you forgotten?,1
I say my prayers to myself  as I am a big girl now but Kolya and Lida say them aloud with mother,0
The Iraqis launched their attack on Kuwait on what day,1
In my turn,0
Do you know I gave her the most delicate instructions so to speak  for inviting that lady and her daughter you understand of whom I am  speaking?,1
In that  sense we are certainly all not infrequently like madmen but with the  slight difference that the deranged are somewhat madder for we  must draw a line,0
A cup of tea maybe,0
Dmitri Prokofitch told me that  there is no danger and that you are wrong in looking upon it with such  horror,0
What British general surrendered to the colonial army at Saratoga,1
No  that would be too cunning!,0
Thats why they so dislike the _living_  process of life; they dont want a _living soul_!,0
Next she spoke of Sonia who would  go with her to T---- and help her in all her plans,0
I may be mistaken but I fancy I find  clearer views more so to say criticism more practicality,0
She will give her a beating a horrible shameful beating and  then maybe turn her out of doors,0
Who was Picasso,1
Even as it was everyone he met seemed to stare and look round as if  they had nothing to do but to watch him,0
Raskolnikov knew he would come up to him,0
What is an arab strap,1
She sighed lost in  thought,0
When you were saying  good-bye to her at the door while you held her hand in one hand with  the other the left you slipped the note into her pocket,0
What does  it mean?,1
But  confound them all now!,0
I should like to know one thing more: how far they were open with one  another that day and night and all this time since?,1
We all began to congratulate him,0
By the way mamma I did an  unpardonable thing yesterday,0
Porfiry had shown almost all his cards--of course he had risked  something in showing them--and if he had really had anything up his  sleeve (Raskolnikov reflected) he would have shown that too,0
By the way Potchinkovs house  is only a few steps away,0
How is energy created,1
Where can I find pictorial directions on how to build a very simple treehouse,1
Through whom how and when those rumours came to  me,0
Porfiry shook his head in a  womanish way,0
Look at it,0
The workmen had obviously stayed beyond their time and now they were  hurriedly rolling up their paper and getting ready to go home,0
I do Raskolnikov answered firmly; as he said these words and during  the whole preceding tirade he kept his eyes on one spot on the carpet,0
Lebeziatnikov appeared at the door,0
He  had come gradually to many different and curious conclusions and in his  opinion the chief reason lay not so much in the material impossibility  of concealing the crime as in the criminal himself,0
He was thinking of the chief point and put off  trifling details until _he could believe in it all_,0
Well then I came to you because I know no one but you who could  help,0
But beggary honoured sir beggary is a  vice,0
Yes that is what he was reckoning on that I should not have time to  reflect and should be in a hurry to make the most likely answer and  so would forget that the workmen could not have been there two days  before,0
What does `` BYOB  mean,1
Who was Charles Lindbergh s wife,1
and hints,0
How long should a person wash their hands before they are clean,1
What drink is made up of rum  coconut milk and pineapple,1
Where does most of the marijuana entering the United States come from,1
What s the main vegetable in vichyssoise,1
young woman,0
Good-bye,0
observed a third,0
Porfiry Petrovitch returned quickly,0
Wait Ill peep in and see whether he has waked up,0
When was General Manuel Noriega ousted as the leader of Panama and turned over to US authorities,1
I thought it over at night  and found out the mistake,0
Not a doubt they  were talking about me before we came,0
Where can I find a person s address from a telephone number,1
CHAPTER IV    You know perhaps--yes I told you myself began Svidrigaïlov that  I was in the debtors prison here for an immense sum and had not  any expectation of being able to pay it,0
Why you sat on your chair  in a way you never do sit on the edge somehow and you seemed to be  writhing all the time,0
Light and youthful colours predominated in Pyotr  Petrovitchs attire,0
He suddenly paused in his reflection and stood still,0
He ran beside the mare ran in front of her saw her being whipped  across the eyes right in the eyes!,0
And how clever she used to be,0
What group kidnaped Patricia Hearst,1
I know this corridor  Ive been here there was a scandal here at Number 3,0
What country was Mikhail Gorbachev the leader of,1
Raskolnikov cried in a frenzy,0
The real _Master_ to whom all is  permitted storms Toulon makes a massacre in Paris _forgets_ an army in  Egypt _wastes_ half a million men in the Moscow expedition and gets off  with a jest at Vilna,0
One has but to keep all ones will-power and reason to deal  with them and they will all be overcome at the time when once one has  familiarised oneself with the minutest details of the business,0
Youve no proofs and the man I saw had no  real existence,0
certainly I agree Porfirys tone was rather strange and still  more that wretch Zametov!,0
But as your brother cannot speak openly  in my presence of some proposals of Mr,0
Porfiry doesnt give his  opinion but is examining all who have left pledges with her there,0
I  shall be getting some money soon,0
I am his friend and therefore I  am your friend too I want to be,0
And even if you were right if I really had determined on a  vile action is it not merciless on your part to speak to me like that?,1
The Kingdom of  Heaven to her--and now enough madam leave me in peace!,0
Can he really be saved?,1
Oh not at all as often as you like,0
On the right  hand the blank unwhitewashed wall of a four-storied house stretched far  into the court; on the left a wooden hoarding ran parallel with it for  twenty paces into the court and then turned sharply to the left,0
What does Warner Bros call a flightless cuckoo,1
At last he returned to complete consciousness,0
The only fact that seemed certain was  that one of them had stolen something and had even succeeded in  selling it on the spot to a Jew but would not share the spoil with his  companion,0
am very glad,0
She was an honest woman  and very sensible although completely uneducated,0
What does the Ouarterly Review of Doublespeak call an `` inoperative statement,1
Better bleed him then,0
What is the origin of thank you notes,1
Its written here Campany thats a thing to remember  that letter _a_ and to look at it again in a month--how shall I look  at it then?,1
A retired clerk of the commissariat department came too; he was  drunk had a loud and most unseemly laugh and only fancy--was without  a waistcoat!,0
He  waited went out on tiptoe and ran down the stairs,0
What book opens : `` At a certain village in La Mancha  which I shall not name,1
He could not  imagine for instance that he would sometime leave off thinking get  up and simply go there,0
He had not passed it he had not been near it since _that_ evening,0
Why are you preening and prinking?,1
Kolya Lida where  are you going?,1
Sonia waited uneasily,0
Ive been all day with Sofya Semyonovna,0
Who shot Billy the Kid,1
He has worn his shirt till it looks like a dish-clout  he has torn it to rags!,0
Is she in her senses?,1
Why its my revolver an old friend!,0
Theres a phenomenon for you cried the student and he laughed,0
Again the unbearable icy  shivering came over him; again he drew his coat over him,0
One poorly dressed in mourning sat at the  table opposite the chief clerk writing something at his dictation,0
Everyone got up,0
I want to see her that young person,0
cried  Pulcheria Alexandrovna,0
Exclamations arose on all hands  chiefly expressive of wonder but some were menacing in tone,0
Oh no no no!,0
How long does it take different materials to decompose,1
Shes  a widow now in consumption a poor creature,0
You lay stress on his coming at your instigation,0
Razumihin was the speaker,0
Its a flush  of fever thought Svidrigaïlov,0
Where can I find lyrics for R&B,1
You are worked by principles  as it were by springs; you wont venture to turn round on your own  account,0
Did he tell you?,1
The  question whether the disease gives rise to the crime or whether the  crime from its own peculiar nature is always accompanied by something of  the nature of disease he did not yet feel able to decide,0
What Tom Wolfe book is about the Mercury astronauts,1
You mean Siberia Sonia?,1
Dounia was anxious but said nothing and  helped her to arrange the room,0
Pulcheria Alexandrovna began to cry,0
What are you saying?,1
The supposition that  it was a calculated crime and a cunning criminal doesnt work,0
To begin with  there were rumours,0
What US state does the Continental Divide leave to enter Canada,1
How far is London UK from California,1
And I see you are an intelligent man too,0
Where did Victor Hugo spend his exile,1
Its a pity brother that you did not set to work in the right way  at first,0
It is all  turning out splendidly,0
Instinct helped him,0
I knew,0
Porfiry Petrovitch made a dignified pause,0
For just now brother money is sweeter  to us than treacle,0
In the room he found  also a boy with a little hand organ a healthy-looking red-cheeked girl  of eighteen wearing a tucked-up striped skirt and a Tyrolese hat with  ribbons,0
What is osmosis,1
how shall I tell  you?,1
What s the fifth-largest country in the world,1
By the door stands a chair the only one in the two rooms,0
What country has problems with hooligans,1
How does General Mills manufacture Cheerios,1
It had  impressed Pyotr Petrovitch,0
And she dressed up like a regular fashion book!,0
I wont allow it Raskolnikov shouted again,0
The month was up the day  before yesterday,0
I undertake to!,0
What `` little red car  is mentioned in pop singer Prince s hit song,1
Havent you seen children here at the street corners sent out  by their mothers to beg?,1
Of course  there may be illness and a stuffy room as well but anyway!,0
Sonia and Polenka rushed after them,0
Its clear,0
you,0
No its nonsense its rubbish!,0
I dont understand it!,0
What is a softball made of,1
You are keeping watch on me and want to let me know it?,1
You are fibbing my cock-sparrow!,0
I know nothing about it of course put in Pulcheria Alexandrovna  it may be a good idea but again God knows,0
A priest the dying man said again after a moments silence,0
Raskolnikov cried suddenly with impatient vexation,0
